Y,r,I,rpBANK,H,C,K,lev,n,Equity,q,LA,A,mu
7341.557,0.1719,972.248,1.33666666666667,67.597,4479.62422041525,28952.15,4487.958,2829.745,148.17,0.162800310166948,108.607734071039,17.7683240472194,0.549347645204023
7190.289,0.0947,889.579,2.15333333333333,66.376,4381.75812877522,28952.15,4565.249,2940.79,148.17,0.162800310166948,108.32663914668,17.6260121491127,2.34015244287536
7181.743,0.1087,830.866,1.59,66.074,4434.48232513702,28952.15,4692.075,3070.952,145.97,0.167104860951605,108.692420619306,17.6613724196423,1.104862602849
7315.677,0.189,908.306,1.84,66.962,4488.78706199461,28952.15,4845.626,3214.547,148.02,0.172479280467945,109.251172306681,17.8230317505272,1.65306815315656
7459.022,0.147,992.376,2.08333333333333,67.348,4502.17022800525,29738.288,4933.833,3321.056,148.62,0.170906038706734,110.753429945952,17.9548549183914,2.18665488878923
7403.745,0.191,951.246,1.78666666666667,67.4,4489.11155331851,29738.288,5078.43,3417.664,150.68,0.175837627236645,109.847848664688,17.8121020613216,1.53611763575762
7492.405,0.1587,1004.861,1.55666666666667,67.362,4499.41175118914,29738.288,5239.482,3456.35,151.6,0.181284208425179,111.225987945726,18.0325117565914,1.03176852947467
7410.768,0.1237,969.475,2.06666666666667,67.069,4459.91055092498,29738.288,5407.954,3582.392,153.12,0.187000475615812,110.494684578568,17.8905688651906,2.15010785210207
7295.631,0.1468,877.772,2.02333333333334,65.94,4487.86764705882,30368.384,5508.313,3655.244,153.87,0.18644992766161,110.640445859873,17.7122298205195,2.05508555671543
7328.912,0.1415,877.104,2.27,66.244,4486.38453247696,30368.384,5657.74,3692.422,154.4,0.191387859163003,110.63510657569,17.7357143357542,2.59598169968555
7300.896,0.1031,869.067,2.49666666666667,65.772,4523.44712414332,30368.384,5809.881,3763.532,154.96,0.196416147793705,111.003101623791,17.7566956375027,3.09302139863107
7303.817,0.0895,801.889,2.51333333333334,65.158,4605.57678272442,30368.384,5987.809,3823.042,155.99,0.202309052730629,112.093940882163,17.8809863593662,3.12956843531823
7400.066,0.0877,829.672,1.99,65.555,4654.20128680387,31093.054,6096.694,3900.519,155.81,0.201090056962561,112.883319350164,17.9129637871528,1.98199148334109
7568.456,0.0898,903.148,1.68,66.318,4757.09089371061,31093.054,6292.177,3963.389,156.14,0.207387701446117,114.123706987545,18.1724884080408,1.30221660095973
7719.746,0.0945,959.692,1.18333333333333,67.644,4854.45395383875,31093.054,6503.711,3970.06,157.35,0.21422987269118,114.123144698717,18.2802047765339,0.213114907682057
7880.794,0.0947,1053.054,1.19666666666667,68.914,4927.1998504704,31093.054,6690.009,4037.394,156.92,0.220207670819341,114.356937632411,18.4197066987215,0.242352537031793
8034.847,0.0991,1154.826,1.46,70.233,4971.65854561155,32068.518,6875.564,4010.718,158.5,0.219344841567047,114.402730909971,18.3615784339395,0.819795716689084
8173.67,0.1106,1192.381,1.48666666666667,71.147,5047.14300275201,32068.518,7147.191,4031.891,159.24,0.227838124605571,114.884253728197,18.5102234018886,0.878270975388558
8252.465,0.113,1218.184,1.72,71.456,5078.74765108808,32068.518,7398.958,4140.971,159.7,0.235703377374658,115.490161777877,18.6319075153472,1.38992948900894
8320.199,0.0838,1202.383,1.25666666666667,71.922,5137.87729889092,32068.518,7695.515,4214.805,160.7,0.244982165998441,115.683643391452,18.6993707653461,0.373921869105607
8400.82,0.0858,1169.416,1.13666666666666,72.497,5234.9525360448,33127.016,7920.737,4224.208,160.29,0.243940685753284,115.87817426928,18.5941973086619,0.11078320495798
8474.787,0.0753,1189.334,1.39,72.991,5291.77157741032,33127.016,8203.36,4262.99,161.3,0.252502670328049,116.107287199792,18.6687851473356,0.66629816260297
8604.22,0.0792,1181.226,1.44,73.196,5401.98493645065,33127.016,8488.61,4249.905,161.75,0.261127051105358,117.550412590852,18.9166746865919,0.775939272664473
8668.188,0.0827,1224.763,1.4,73.563,5421.20969786811,33127.016,8966.473,4549.648,162.3,0.275568828777092,117.833530443293,18.9904625360739,0.688226384615271
8749.127,0.0748,1224.404,1.44333333333333,73.457,5480.25774396398,34181.992,9151.058,4628.364,162.02,0.2724556836828,119.105422219802,19.0083223429034,0.783248680001912
8788.524,0.0692,1203.028,1.27,73.258,5513.36259401767,34181.992,9473.137,4672.976,162.2,0.281883425635346,119.966747658959,19.130253369431,0.403159498455343
8872.601,0.0589,1170.667,1.35,73.628,5617.45585488437,34181.992,9798.694,4643.137,162.99,0.291430762724419,120.505799424132,19.2451711495434,0.57858527455376
8920.193,0.0691,1174.171,1.41666666666667,74.183,5655.20167005018,34181.992,10195.569,4782.145,163.77,0.303064227503184,120.245784074518,19.2467251608966,0.724773421302439
8986.367,0.0613,1205.858,1.29333333333333,75.107,5677.69087310649,35208.604,10382.66,4955.527,165.25,0.299583306398629,119.647529524545,19.0527187198753,0.454325349817381
9083.256,0.0673,1206.486,1.19,75.537,5770.58134260659,35208.604,10678.352,5023.797,164.46,0.307959156801559,120.24909646928,19.1811754651805,0.227733722356927
9162.024,0.0722,1206.662,1.15,76.063,5847.27552379345,35208.604,10941.803,5110.779,164.57,0.315444855467715,120.453098089741,19.253560949861,0.140020834307721
9319.332,0.0677,1288.881,1.16666666666667,76.849,5863.47835795899,35208.604,11226.544,4979.58,164.98,0.323543756520423,121.268097177582,19.4435143979442,0.176567870994893
9367.502,0.0658,1227.008,1.19666666666667,76.92,5967.4218504773,36224.176,11425.105,5040.573,163.54,0.319914661412864,121.782397295892,19.3661552530921,0.242352537031793
9490.594,0.0751,1256.243,1.17,78.002,6019.30292945178,36224.176,11706.043,5124.505,162.56,0.327643146389306,121.67116227789,19.4293542842164,0.18387727833232
9546.206,0.0819,1263.222,1.11,78.211,6074.98915793278,36224.176,11960.847,5164.228,NaN,0.327643146389306,122.057076370332,19.5065538458712,0.0523079462585108
9673.405,0.0876,1282.499,1.00333333333333,79.09,6153.10294170339,36224.176,12336.729,5326.688,161.06,0.345012375160721,122.308825388798,19.6121062524883,-0.181593088539375
9771.725,0.0985,1326.029,0.956666666666667,79.882,6188.24822695035,37242.084,12591.494,5565.988,162.1,0.342451136730157,122.326994817356,19.5112465076694,-0.283924791263451
9846.293,0.0953,1313.202,0.880000000000001,80.191,6234.56956895493,37242.084,12826.017,5593.312,161.31,0.348727181862325,122.785512089885,19.6069746210583,-0.452041160024433
9919.228,0.0902,1301.412,0.92,80.374,6286.28977480537,37242.084,13034.268,5623.046,160.08,0.354285973899849,123.413392390574,19.7206533540925,-0.364328271975226
9938.767,0.0845,1291.758,0.923333333333334,80.378,6318.42423823194,37242.084,13345.611,5651.74,157.97,0.362589295486257,123.650339645177,19.7587997131565,-0.357018864637791
10047.386,0.0828,1304.586,0.903333333333332,80.614,6395.12061591103,38181.148,13568.126,5592.04,158.5,0.359513181740895,124.63574565212,19.7860237363651,-0.400875308662398
10083.855,0.0829,1304.993,0.913333333333334,80.263,6401.18602487099,38181.148,13792.566,5638.238,157.73,0.365371308374489,125.635161905237,19.9186794751946,-0.378947086650093
10090.569,0.082,1279.695,1.01333333333333,79.854,6453.00364026774,38181.148,14010.883,5570.93,157.46,0.371082163375496,126.362724472162,20.0034974383651,-0.159664866527077
9998.704,0.0731,1208.107,1.30333333333333,79.512,6440.61110648572,38181.148,14292.014,5512.383,158.03,0.378460176210521,125.750880370259,19.8811508990338,0.476253571829683
9951.916,0.0612,1167.908,1.27,78.733,6387.48412842373,38943.58,14386.543,5590.777,156.87,0.373448280820613,126.400823034814,19.8078572155475,0.403159498455347
10029.51,0.059,1167.904,1.01,78.239,6428.3198009429,38943.58,14539.492,5579.38,155.39,0.377337728067117,128.190672171168,20.0506008062874,-0.166974273864505
10080.195,0.0545,1191.028,0.896666666666665,78.148,6453.67410583764,38943.58,14740.215,5516.345,152.94,0.382429016541366,128.988521779188,20.1684031827139,-0.415494123337268
10115.329,0.0443,1233.261,0.953333333333331,78.016,6458.85259401592,38943.58,15011.194,5517.54,148.64,0.389276846145116,129.657108798195,20.2627045424224,-0.29123419860089
10236.435,0.0398,1210.478,0.923333333333334,77.556,6596.42058525442,39749.632,15153.355,5319.312,146.19,0.384897777166843,131.987660529166,20.4649751370985,-0.357018864637791
10347.429,0.0376,1278.935,0.853333333333335,77.858,6645.33461261694,39749.632,15370.158,5288.257,143.75,0.390290606967129,132.901294664646,20.6305900598196,-0.510516418723902
10449.673,0.0322,1289.101,0.723333333333334,77.989,6726.45406661256,39749.632,15606.973,5228.892,144.56,0.396268649732405,133.989062560105,20.809920376324,-0.795583304883832
10558.648,0.0292,1328.433,0.846666666666666,78.491,6807.33488217723,39749.632,15830.689,5131.325,144.63,0.401898538331122,134.520492795352,20.9325863344841,-0.525135233398776
10576.275,0.0307,1359.751,0.67,79.187,6835.85056893192,40619.356,16010.598,5175.346,144.98,0.397731022618872,133.560748607726,20.7038387938429,-0.912533822282777
10637.847,0.0304,1367.575,0.733333333333334,80.082,6903.27776649429,40619.356,16295.875,5217.265,144.44,0.404740907265984,132.836929647112,20.6608822594433,-0.773655082871528
10688.606,0.0309,1358.287,0.729999999999999,80.561,6969.091586811,40619.356,16624.026,5291.205,139.7,0.412702899573297,132.677176301188,20.6728076789968,-0.780964490208967
10833.987,0.0296,1429.661,0.71,81.328,7032.42454200006,40619.356,17005.512,5529.561,138.92,0.422075426306611,133.213493507771,20.8151287263911,-0.824820934233569
10939.116,0.0334,1484.116,0.686666666666667,81.837,7104.3275734842,41576.888,17254.989,5559.792,139.97,0.418380495432943,133.669562667253,20.7802335143905,-0.875986785595607
11087.361,0.0425,1557.107,0.649999999999999,83.164,7164.96282243505,41576.888,17491.526,5677.027,139.64,0.424061704666304,133.319236688952,20.8255743116601,-0.956390266307382
11152.176,0.0473,1531.67,0.666666666666666,84.14,7229.96333875899,41576.888,17765.109,5836.758,138.8,0.430621671347793,132.54309484193,20.7765785293457,-0.919843229620212
11279.932,0.0545,1594.684,0.636666666666665,84.496,7302.91104958165,41576.888,18158.311,6002.713,134.61,0.43997811957451,133.496638894149,20.9524055849259,-0.98562789565712
11319.951,0.0598,1611.428,0.596666666666668,84.899,7317.2154336965,42589.128,18391.685,6140.567,132.52,0.434951497480766,133.334326670514,20.8066284770458,-1.07334078370632
11353.721,0.06,1577.96,0.573333333333332,84.778,7388.84994982852,42589.128,18720.188,6315.198,132.22,0.442657759980434,133.922963504683,20.8895222111297,-1.12450663506836
11450.31,0.058,1568.555,0.619999999999999,85.751,7449.57078986587,42589.128,19021.252,6472.76,124.09,0.449535900335879,133.529754755047,20.8992739367043,-1.02217493234429
11528.067,0.056,1607.513,0.653333333333333,85.97,7498.41300446435,42589.128,19448.45,6745.894,129.25,0.459687740026046,134.094067698034,21.0035103867528,-0.949080858969946
11614.418,0.0531,1633.332,0.66,86.14,7573.19881323158,43715.496,19763.96,6858.161,131,0.455100864004837,134.83187833759,20.9673956291042,-0.934462044295078
11808.14,0.0527,1711.813,0.686666666666667,86.946,7674.04451108367,43715.496,20108.121,6961.828,133.14,0.463022562983158,135.810043015205,21.1783259251885,-0.875986785595607
11914.063,0.053,1789.565,0.703333333333335,87.673,7728.09922198942,43715.496,20424.877,7043.903,135.8,0.47032926264865,135.892042019778,21.2438742959778,-0.839439748908433
12037.775,0.0529,1787.19,0.686666666666667,88.671,7801.15572396706,43715.496,20866.405,7511.011,136.01,0.480434100530393,135.757744922241,21.2946374010502,-0.875986785595605
12115.472,0.0539,1823.255,0.643333333333334,89.424,7871.21332850416,44934.86,21107.277,7786.299,NaN,0.480434100530393,135.483449633208,21.1309469033781,-0.971009080982248
12317.221,0.0556,1935.157,0.613333333333332,89.857,7910.79928284318,44934.86,21455.209,8032.34,133.4,0.480442333635845,137.075809341509,21.4101134178912,-1.03679374701916
12471.01,0.0554,1962.053,0.586666666666668,90.392,8031.75601750547,44934.86,21843.969,8338.372,134.37,0.489115555272677,137.965859810603,21.5873054189935,-1.09526900571862
12577.495,0.055,1990.86,0.56,90.822,8126.27878613961,44934.86,22365.886,8857.313,136.04,0.500767689050328,138.485113738962,21.699167855073,-1.1537442644181
12703.742,0.0549,2078.205,0.586666666666667,91.392,8197.46969653552,46303.76,22860.428,9105.05,137.28,0.496670421581314,139.002779236695,21.6262608894229,-1.09526900571863
12821.339,0.0556,2065.336,0.616666666666666,91.861,8337.12031332638,46303.76,23428.598,9274.423,137.75,0.508951065744985,139.573257421539,21.748211720514,-1.02948433968172
12982.752,0.0551,2118.989,0.636666666666667,91.989,8436.19101843285,46303.76,23919.524,9109.144,136.67,0.519530033846063,141.13374425203,22.0005563367814,-0.985627895657116
13191.67,0.0468,2183.382,0.916666666666667,93.121,8556.39646289015,46303.76,24579.122,9842.58,136.39,0.533769007095752,141.661601572148,22.1635142706007,-0.37163767931266
13315.597,0.0481,2243.548,0.983333333333333,92.992,8633.08904671628,47787.892,25127.339,9812.599,135.76,0.528650625560131,143.19077985203,22.1834651826242,-0.225449532563982
13426.748,0.0476,2244.682,0.806666666666666,93.504,8781.85879998309,47787.892,25568.46,10083.313,134.55,0.537856116356838,143.595439767283,22.282620786893,-0.612848121447984
13604.771,0.0522,2306.47,0.773333333333333,94.105,8897.90730337079,47787.892,26213.39,10223.375,134.66,0.551354096137992,144.570118484671,22.4768225682281,-0.685942194822324
13827.98,0.053,2367.988,0.753333333333333,94.503,9032.8081569942,47787.892,26833.038,11104.135,133.08,0.564287665168407,146.323185507338,22.7778941995689,-0.729798638846927
13878.147,0.0585,2351.223,0.616666666666664,94.934,9182.91268332616,49329.54,27302.051,11085.399,135.71,0.556213599397035,146.18731961152,22.5726261697692,-1.02948433968173
14130.908,0.0653,2490.501,0.826666666666668,95.203,9255.25510204082,49329.54,27635.263,11423.897,136.92,0.562992944998068,148.429230171318,22.9381121398923,-0.568991677423375
14145.312,0.0652,2466.375,0.713333333333334,95.183,9349.6161438912,49329.54,28066.841,11850.622,138.69,0.571777701555701,148.611747896158,22.9647924052652,-0.817511526896133
14229.765,0.064,2471.534,0.81,94.835,9433.99102772134,49329.54,28637.413,12098.452,137.92,0.583328630269003,150.047609005114,23.1612652795467,-0.605538714110549
14183.12,0.0531,2358.969,0.803333333333333,94.791,9475.89878356046,50697.112,29018.834,11793.765,138.54,0.575128894916144,149.625175385849,22.9050684858362,-0.620157528785418
14271.694,0.0397,2362.652,0.813333333333333,93.869,9482.46842431261,50697.112,29438.864,11937.694,139.35,0.583429959481716,152.038415238258,23.2065955962979,-0.598229306773114
14214.516,0.0307,2311.409,0.843333333333334,92.746,9483.00249470211,50697.112,30167.317,11732.946,139.99,0.597811311224198,153.262846915231,23.3095567917928,-0.532444640736207
14253.574,0.0182,2196.554,1,91.693,9609.74435768531,50697.112,30738.406,11201.914,139.68,0.609069920984848,155.448878322227,23.5616163265608,-0.18890249587681
14372.785,0.0173,2262.071,1.33333333333333,90.932,9620.15674357231,51889.248,31165.148,11317.736,140.25,0.603311846030222,158.060803677473,23.7325763945135,0.542038237866592
14460.848,0.0175,2298.939,1.31,91.131,9706.53747559404,51889.248,31670.841,11153.186,141.04,0.613072692824533,158.681985273946,23.841447673161,0.490872386504547
14519.633,0.0175,2295.983,1.27666666666667,90.793,9778.1031064111,51889.248,32228.109,11079.127,142.23,0.623835192215543,159.920181071228,24.000837550216,0.417778313130214
14537.58,0.0124,2293.746,1.32,90.95,9821.33816977487,51889.248,33060.275,11046.807,143.58,0.639898558560725,159.841451346894,24.0014152858941,0.512800608516855
14614.141,0.0125,2312.465,1.11666666666667,90.481,9896.75782425027,53148.096,33678.707,11292.424,143.26,0.636372128928194,161.516130458328,24.0426409479979,0.0669267609333791
14743.567,0.0122,2327.492,1.16333333333333,90.198,9984.95764368565,53148.096,34575.093,11526.665,143.06,0.653234181709915,163.457803942438,24.3088577461556,0.169258463657458
14988.782,0.0101,2411.638,1.11,90.313,10134.8041311926,53148.096,35210.623,11480.839,142.96,0.665190019224772,165.964833412687,24.6911019594037,0.0523079462585108
15162.76,0.0098,2493.928,1.00666666666667,90.75,10192.6261286209,53148.096,36040.978,12330.267,144.1,0.680834888233814,167.082754820937,24.8931168490878,-0.174283681201942
15248.68,0.01,2498.14,0.816666666666667,91.152,10293.4751192562,54536.764,37526.86,12837.028,145.66,0.690772925214265,167.288485167632,24.7650818920437,-0.590919899435679
15366.85,0.0103,2597.507,0.736666666666667,91.25,10335.8215771846,54536.764,38285.206,13345.594,146.62,0.704695753492085,168.403835616438,24.9381046684522,-0.766345675534095
15512.619,0.0161,2638.672,0.806666666666667,91.761,10442.4070899097,54536.764,39078.786,13823.81,147.24,0.719258407044466,169.05459835878,25.0761895707959,-0.612848121447982
15670.88,0.0216,2693.575,0.700000000000002,92.289,10568.8349866773,54536.764,40141.992,14379.056,147.24,0.738753623152265,169.80225162262,25.2302057031712,-0.846749156245866
15844.727,0.0263,2769.261,0.646666666666666,92.529,10612.989897987,56048.848,40915.939,14702.21,146.93,0.732626458263692,171.240659685072,25.2564761394917,-0.963699673644817
15922.782,0.0304,2733.225,0.826666666666665,93.022,10721.2412824367,56048.848,41791.338,14986.078,146.75,0.74824174798383,171.172217324934,25.286448448002,-0.568991677423381
16047.587,0.0362,2769.106,0.886666666666668,93.241,10828.2119221471,56048.848,42485.2,15535.68,147.96,0.760642930609386,172.108696817923,25.4425677891576,-0.437422345349564
16136.734,0.0416,2857.35,0.956666666666666,93.858,10845.5692676606,56048.848,43579.4,16201.77,149.48,0.780192306539467,171.92710264442,25.4657494984056,-0.283924791263453
16353.835,0.0459,2899.229,0.916666666666667,94.86,10943.4713069412,57539.832,44642.609,16739.055,NaN,0.780192306539467,172.399694286317,25.4167252688031,-0.37163767931266
16396.151,0.0499,2882.564,0.843333333333334,95.078,11000.7498629026,57539.832,45726.45,17165.721,150.1,0.79730072899761,172.449473064221,25.4414430344442,-0.532444640736207
16420.738,0.0525,2871.589,0.913333333333334,95.45,11073.7462707771,57539.832,46657.125,17694.393,150.7,0.813485604198497,172.034971189104,25.4098435074527,-0.378947086650093
16561.866,0.0524,2818.228,0.893333333333334,95.901,11121.11360151,57539.832,47764.962,18346.483,150.09,0.832728395870186,172.697531829699,25.5435628798898,-0.422803530674698
16611.69,0.0526,2800.037,0.933333333333334,95.854,11185.5403384126,58882.184,48973.278,18805.32,150.45,0.834271500527222,173.302000959793,25.4532276946628,-0.33509064262549
16713.314,0.0525,2827.01,0.916666666666666,96.263,11231.9840781701,58882.184,50099.797,19671.992,150.17,0.853398491468998,173.621370620072,25.5324798864025,-0.371637679312661
16809.587,0.0494,2794.526,0.876666666666667,96.01,11309.0452667298,58882.184,51531.659,20047.536,149.92,0.877711652135729,175.081626913863,25.7269372965148,-0.459350567361868
16915.191,0.0424,2762.518,0.98,95.765,11422.9190854437,58882.184,52736.289,19936.815,151.21,0.898191870736316,176.632287370125,25.9350031332567,-0.232758939901415
16843.003,0.0261,2686.998,1.29333333333333,95.434,11457.876653496,59951.996,53597.233,18409.65,152.21,0.896541342843698,176.488494666471,25.7484565709366,0.454325349817383
16943.291,0.02,2641.85,1.39,94.874,11545.5891403953,59951.996,53871.695,18268.138,152.68,0.901127211844623,178.587294727744,26.0089032837963,0.666298162602966
16854.295,0.0181,2589.254,1.55333333333333,93.829,11492.299686648,59951.996,54707.936,16993.567,153,0.915081059186086,179.62778032378,26.0741978568057,1.02445912213724
16485.35,0.0016,2338.938,3.02333333333334,91.428,11180.0097051223,59951.996,54818.411,15260.808,154.15,0.916942965501933,180.309642560266,25.9715249622747,4.24790775794563
16298.262,0.0018,2073.135,2.94,88.968,11084.9745321482,60486.876,54600.67,14423.513,155.22,0.905252405497021,183.19240625843,26.1034006623518,4.06517257450978
16269.145,0.0021,1952.641,2.47,86.791,11092.69876465,60486.876,54480.189,13672.85,155.31,0.903262039851422,187.4519823484,26.5135185911061,3.03454613993159
16326.281,0.0015,1946.867,1.39333333333333,85.717,11230.8403294878,60486.876,54466.08,14327.298,156.59,0.903049944255676,190.467246870516,26.8398374492077,0.673607569940403
16502.754,0.0012,2128.516,1.12666666666667,85.713,11269.2986111893,60486.876,54305.923,14264.688,156.79,0.900405453242452,192.53501802527,27.1308525950146,0.0888549829456826
16582.71,0.0016,2174.335,0.993333333333333,86.085,11345.7724965183,61035.284,54119.573,14594.027,156.98,0.889265183070173,192.631817389789,27.106404450559,-0.203521310551678
16743.162,0.0018,2288.469,1.13333333333333,86.744,11409.4455186597,61035.284,54061.686,14631.411,157.19,0.888320205080065,193.018099234529,27.2227104073134,0.103473797620551
16872.266,0.0019,2390.072,1.19666666666667,87.159,11478.0584558127,61035.284,54430.761,15209.287,156.73,0.894359580599314,193.580307254558,27.3408574546467,0.242352537031793
16960.864,0.0018,2383.297,1.05666666666667,87.585,11555.3310289817,61035.284,54935.87,14007.639,156.51,0.902631664661379,193.650328252555,27.3908451672014,-0.0646425711404301
16920.632,0.0014,2338.901,0.96,87.73,11637.4523289906,61657.132,55151.584,14630.593,156.99,0.897034490673358,192.871674455716,27.2115640701837,-0.276615383926018
17035.114,0.0009,2434.538,0.813333333333333,88.602,11686.7244815277,61657.132,55266.171,14595.008,157.66,0.898903812133201,192.265569625968,27.2063359889409,-0.598229306773114
17031.313,0.0008,2445.296,1,88.84,11706.026601071,61657.132,55525.094,13456.313,158.74,0.903120729001797,191.70771049077,27.1493685222511,-0.18890249587681
17222.583,0.0007,2633.829,1.32666666666667,89.675,11751.0311463826,61657.132,55869.472,13987.201,159,0.908710317567155,192.055567326457,27.2746550474904,0.527419423191722
17367.01,0.0013,2692.179,1.30333333333333,90.341,11844.6917049446,62424.416,56241.741,14464.369,159.18,0.903507387237712,192.238407810407,27.2600683778401,0.476253571829684
17444.525,0.0016,2752.614,1.29333333333333,90.473,11845.2377108291,62424.416,56404.203,14274.374,157.78,0.906087499480972,192.8147071502,27.3537559065353,0.454325349817382
17469.65,0.0014,2759.86,1.41666666666667,90.985,11838.7370607063,62424.416,57115.492,14770.906,158.17,0.917488150790229,192.005825136011,27.2848758566632,0.724773421302441
17489.852,0.0016,2736.423,1.03333333333333,91.507,11892.9573414283,62424.416,57570.091,14786.564,159.18,0.924786721272651,191.131301430492,27.2070636553812,-0.115808422502471
17662.4,0.0014,2845.38,0.933333333333333,92.128,11964.6756773961,63225.104,58027.886,15169.824,160.87,0.920342590500128,191.715873567211,27.2415126026039,-0.335090642625491
17709.671,0.0009,2882.489,0.873333333333334,92.494,11979.2094091742,63225.104,58066.099,15379.274,NaN,0.920342590500128,191.468322269553,27.2385482251319,-0.466659974699302
17860.45,0.0008,2998.991,0.896666666666667,92.863,12018.4136783111,63225.104,58453.791,16425.629,163.63,0.927122571439345,192.331176033512,27.3936869402606,-0.415494123337265
18016.147,0.0009,3027.805,0.763333333333333,93.126,12104.9074675665,63225.104,59482.165,16984.788,163.58,0.943387060304401,193.459903786268,27.5776520752619,-0.707870416834626
17953.974,0.0008,2998.148,0.676666666666666,93.498,12158.1001795632,64118.472,59945.448,16943.959,164.09,0.937476145719754,192.025219790798,27.291157474593,-0.89791500760791
18185.911,0.001,3121.321,0.603333333333333,94.472,12260.4079725942,64118.472,60399.327,17773.51,163.84,0.944551002400681,192.500539842493,27.4434246668314,-1.05872196903146
18406.941,0.0009,3193.152,0.623333333333334,95.234,12364.6072410727,64118.472,60862.45,17717.962,164.82,0.95178921294319,193.281191591238,27.6209430888523,-1.01486552500685
18500.031,0.0012,3203.351,0.863333333333334,96.202,12478.1155109376,64118.472,61636.34,17791.107,166.52,0.963885415110953,192.304016548512,27.564451128794,-0.488588196711603
18666.621,0.0011,3314.895,0.93,96.692,12524.4272442621,65053.556,61863.476,18274.665,167.05,0.953530134463364,193.052382823812,27.594096163839,-0.342400049962925
18782.243,0.0013,3328.049,0.936666666666666,96.951,12601.2227074236,65053.556,62385.719,18517.162,167.1,0.96155879626319,193.729234355499,27.7129465492487,-0.327781235288057
18857.418,0.0014,3335.27,1.15666666666667,97.079,12689.1917649591,65053.556,62719.273,17848.53,168.67,0.96671030558268,194.248169016986,27.7982383490182,0.154639648982587
18892.206,0.0024,3315.334,1.42666666666667,97.779,12731.3237208063,65053.556,63310.558,17838.031,169.99,0.975819799919931,193.213328015218,27.7095663757216,0.746701643314744
19001.69,0.0036,3301.09,1.38,98.027,12844.7895298269,65971.328,63996.42,17612.507,170.48,0.972648299576446,193.841390637273,27.7045555512746,0.644369940590665
19062.709,0.0038,3287.033,1.07666666666667,98.285,12902.6620075592,65971.328,64549.48,18186.177,169.79,0.981021179382656,193.953390649641,27.7422525644369,-0.0207861271158271
19197.938,0.004,3301.079,0.92,98.755,13003.8878162788,65971.328,65165.876,18983.065,169.82,0.990365026455129,194.399655713635,27.8456270207266,-0.364328271975225
19304.352,0.0054,3391.749,0.83,98.85,13067.5616366321,65971.328,65595.215,19073.539,169.92,0.996874505845934,195.289347496206,27.9810896358914,-0.561682270085945
19398.343,0.0079,3382.703,0.700000000000001,99.19,13177.6899084415,66940.28,66040.355,19475.378,169.63,0.989090350383954,195.567526968444,27.9277611643898,-0.846749156245869
19506.949,0.0104,3435.929,0.696666666666667,99.816,13235.0526843954,66940.28,66692.424,20748.477,170.02,0.998837232231476,195.429079506292,27.9603216027462,-0.854058563583304
19660.766,0.0115,3493.166,0.679999999999999,100.06,13303.5133084403,66940.28,67540.155,21148.328,171.06,1.01151675792214,196.489766140316,28.1325364384781,-0.890605600270476
19882.352,0.013,3558.859,0.71,100.691,13446.785012602,66940.28,68597.723,21926.153,172.33,1.0273344091181,197.459077772591,28.3243665378148,-0.824820934233569
20044.077,0.0151,3612.936,0.723333333333334,101.225,13552.7603309045,68005.632,69322.917,21910.659,171.81,1.02189664232515,198.015085206224,28.3151972207784,-0.795583304883832
20150.476,0.0182,3612.389,0.84,101.739,13600.7813111929,68005.632,70014.47,22084.142,172.49,1.0320756963188,198.060488111737,28.3645590552337,-0.539754048073642
20276.154,0.0195,3722.248,0.903333333333332,102.18,13650.4274837439,68005.632,70763.078,22309.439,171.89,1.04307490297274,198.435642982971,28.455005371081,-0.400875308662398
20304.874,0.0227,3724.752,1.01333333333333,102.497,13686.0181131636,68005.632,71674.698,21127.509,172.52,1.05648923312704,198.102129818434,28.4336382301401,-0.159664866527073
20431.641,0.0241,3755.53,1.14,102.52,13694.4400356147,69059.464,72262.974,22408.288,173.45,1.04889930799347,199.294196254389,28.4753989311568,0.118092612295417
20602.275,0.0238,3790.049,1.00333333333333,102.86,13817.0476208816,69059.464,72899.285,23657.019,175.24,1.05813918567338,200.294332101886,28.6464686594527,-0.181593088539376
20843.322,0.0204,3819.94,0.920000000000001,103.146,13962.9549293612,69059.464,74037.52,23713.664,175.88,1.07463040836807,202.075911814321,28.9252529940243,-0.364328271975224
20985.448,0.0155,3770.431,0.886666666666666,102.899,14065.8253281794,69059.464,74886.196,24439.815,177.11,1.08693728060212,203.942195745343,29.171401810539,-0.437422345349568
